pick_up_zone,drop_off_zone,weight
41.0,125.0,70
41.0,127.0,104
41.0,128.0,17
41.0,137.0,257
41.0,140.0,386
41.0,141.0,503
41.0,142.0,1248
41.0,143.0,369
41.0,144.0,72
41.0,148.0,121
41.0,151.0,1656
41.0,152.0,767
41.0,158.0,139
41.0,161.0,896
41.0,162.0,509
41.0,163.0,569
41.0,164.0,367
41.0,166.0,2898
41.0,170.0,312
41.0,186.0,290
41.0,209.0,26
41.0,211.0,93
41.0,224.0,58
41.0,229.0,254
41.0,230.0,576
41.0,231.0,204
41.0,232.0,71
41.0,233.0,232
41.0,234.0,377
41.0,236.0,1072
41.0,237.0,757
41.0,238.0,1729
41.0,239.0,1436
41.0,243.0,175
41.0,244.0,487
41.0,246.0,239
41.0,249.0,193
41.0,261.0,45
41.0,262.0,306
41.0,263.0,614
42.0,4.0,31
42.0,12.0,1
42.0,13.0,21
42.0,24.0,122
42.0,41.0,1391
42.0,42.0,2381
42.0,43.0,285
42.0,45.0,11
42.0,48.0,176
42.0,50.0,74
42.0,68.0,125
42.0,74.0,1318
42.0,75.0,554
42.0,79.0,68
42.0,87.0,33
42.0,88.0,24
42.0,90.0,34
42.0,100.0,83
42.0,107.0,67
42.0,113.0,33
42.0,114.0,41
42.0,116.0,445
42.0,120.0,68
42.0,125.0,22
42.0,127.0,62
42.0,128.0,4
42.0,137.0,97
42.0,140.0,114
42.0,141.0,137
42.0,142.0,199
42.0,143.0,59
42.0,144.0,18
42.0,148.0,35
42.0,151.0,205
42.0,152.0,430
42.0,158.0,25
42.0,161.0,206
42.0,162.0,108
42.0,163.0,127
42.0,164.0,76
42.0,166.0,508
42.0,170.0,84
42.0,186.0,68
42.0,209.0,4
42.0,211.0,14
42.0,224.0,22
42.0,229.0,44
42.0,230.0,117
42.0,231.0,45
42.0,232.0,13
42.0,233.0,59
42.0,234.0,82
42.0,236.0,272
42.0,237.0,153
42.0,238.0,227
42.0,239.0,193
42.0,243.0,82
42.0,244.0,245
42.0,246.0,85
42.0,249.0,40
42.0,261.0,7
42.0,262.0,92
42.0,263.0,128
43.0,4.0,247
43.0,12.0,74
43.0,13.0,924
43.0,24.0,859
43.0,41.0,1087
43.0,42.0,517
43.0,43.0,15171
43.0,45.0,197
43.0,48.0,5853
43.0,50.0,1959
43.0,68.0,3131
