pick_up_zone,drop_off_zone,weight
41.0,116.0,547
41.0,120.0,24
41.0,125.0,85
41.0,127.0,90
41.0,128.0,18
41.0,137.0,254
41.0,140.0,403
41.0,141.0,479
41.0,142.0,1230
41.0,143.0,327
41.0,144.0,88
41.0,148.0,132
41.0,151.0,1579
41.0,152.0,654
41.0,158.0,163
41.0,161.0,870
41.0,162.0,445
41.0,163.0,553
41.0,164.0,308
41.0,166.0,2609
41.0,170.0,317
41.0,186.0,270
41.0,209.0,18
41.0,211.0,86
41.0,224.0,78
41.0,229.0,219
41.0,230.0,588
41.0,231.0,176
41.0,232.0,63
41.0,233.0,206
41.0,234.0,334
41.0,236.0,1190
41.0,237.0,695
41.0,238.0,1794
41.0,239.0,1516
41.0,243.0,128
41.0,244.0,406
41.0,246.0,319
41.0,249.0,211
41.0,261.0,32
41.0,262.0,294
41.0,263.0,561
42.0,4.0,26
42.0,12.0,1
42.0,13.0,17
42.0,24.0,100
42.0,41.0,1111
42.0,42.0,2209
42.0,43.0,248
42.0,45.0,12
42.0,48.0,167
42.0,50.0,65
42.0,68.0,122
42.0,74.0,937
42.0,75.0,435
42.0,79.0,76
42.0,87.0,25
42.0,88.0,24
42.0,90.0,42
42.0,100.0,60
42.0,107.0,52
42.0,113.0,24
42.0,114.0,36
42.0,116.0,341
42.0,120.0,41
42.0,125.0,19
42.0,127.0,60
42.0,128.0,2
42.0,137.0,93
42.0,140.0,90
42.0,141.0,111
42.0,142.0,199
42.0,143.0,58
42.0,144.0,22
42.0,148.0,37
42.0,151.0,186
42.0,152.0,346
42.0,158.0,23
42.0,161.0,212
42.0,162.0,97
42.0,163.0,117
42.0,164.0,83
42.0,166.0,419
42.0,170.0,76
42.0,186.0,57
42.0,209.0,6
42.0,211.0,14
42.0,224.0,19
42.0,229.0,50
42.0,230.0,118
42.0,231.0,36
42.0,232.0,20
42.0,233.0,53
42.0,234.0,77
42.0,236.0,268
42.0,237.0,170
42.0,238.0,225
42.0,239.0,192
42.0,243.0,63
42.0,244.0,236
42.0,246.0,71
42.0,249.0,33
42.0,261.0,10
42.0,262.0,83
42.0,263.0,141
43.0,4.0,283
43.0,12.0,70
43.0,13.0,855
43.0,24.0,897
43.0,41.0,1054
43.0,42.0,450
43.0,43.0,15143
43.0,45.0,220
43.0,48.0,5835
43.0,50.0,1461
43.0,68.0,3209
43.0,74.0,1160
43.0,75.0,2209
43.0,79.0,1698
