Scenario,NumCommunities,Modularity
Jan,205,0.2027165268355809
Feb,204,0.19557942894073305
Mar,205,0.18975211028306432
Apr,205,0.18804759994468054
May,205,0.18531037990623547
Jun,204,0.18153432580304663
Jul,205,0.1715065643473546
Aug,204,0.17218874072878593
Sep,204,0.18757421625659043
Oct,205,0.1846407253233994
Nov,204,0.18647670859988436
Dec,205,0.19485007008858674
morning_peak,205,0.16885427265588843
evening_peak,205,0.21643666572418624
