pick_up_zone,drop_off_zone,weight
41.0,120.0,25
41.0,125.0,55
41.0,127.0,97
41.0,128.0,18
41.0,137.0,234
41.0,140.0,335
41.0,141.0,366
41.0,142.0,1095
41.0,143.0,276
41.0,144.0,88
41.0,148.0,126
41.0,151.0,1166
41.0,152.0,563
41.0,158.0,150
41.0,161.0,869
41.0,162.0,418
41.0,163.0,483
41.0,164.0,329
41.0,166.0,1745
41.0,170.0,308
41.0,186.0,273
41.0,209.0,20
41.0,211.0,100
41.0,224.0,50
41.0,229.0,201
41.0,230.0,571
41.0,231.0,148
41.0,232.0,60
41.0,233.0,194
41.0,234.0,350
41.0,236.0,841
41.0,237.0,575
41.0,238.0,1251
41.0,239.0,1220
41.0,243.0,160
41.0,244.0,409
41.0,246.0,265
41.0,249.0,222
41.0,261.0,28
41.0,262.0,260
41.0,263.0,515
42.0,4.0,21
42.0,12.0,1
42.0,13.0,13
42.0,24.0,80
42.0,41.0,1097
42.0,42.0,1875
42.0,43.0,249
42.0,45.0,10
42.0,48.0,178
42.0,50.0,70
42.0,68.0,122
42.0,74.0,996
42.0,75.0,428
42.0,79.0,86
42.0,87.0,42
42.0,88.0,52
42.0,90.0,37
42.0,100.0,73
42.0,107.0,76
42.0,113.0,28
42.0,114.0,35
42.0,116.0,362
42.0,120.0,58
42.0,125.0,12
42.0,127.0,37
42.0,128.0,4
42.0,137.0,88
42.0,140.0,96
42.0,141.0,113
42.0,142.0,151
42.0,143.0,48
42.0,144.0,24
42.0,148.0,42
42.0,151.0,171
42.0,152.0,287
42.0,158.0,38
42.0,161.0,251
42.0,162.0,119
42.0,163.0,134
42.0,164.0,73
42.0,166.0,291
42.0,170.0,78
42.0,186.0,86
42.0,209.0,7
42.0,211.0,12
42.0,224.0,12
42.0,229.0,42
42.0,230.0,164
42.0,231.0,45
42.0,232.0,30
42.0,233.0,53
42.0,234.0,73
42.0,236.0,228
42.0,237.0,135
42.0,238.0,173
42.0,239.0,180
42.0,243.0,60
42.0,244.0,188
42.0,246.0,69
42.0,249.0,42
42.0,261.0,8
42.0,262.0,72
42.0,263.0,125
43.0,4.0,220
43.0,12.0,89
43.0,13.0,822
43.0,24.0,654
43.0,41.0,980
43.0,42.0,515
43.0,43.0,13012
43.0,45.0,195
43.0,48.0,5836
43.0,50.0,1707
43.0,68.0,2977
43.0,74.0,1002
43.0,75.0,1997
43.0,79.0,1645
43.0,87.0,635
43.0,88.0,445
43.0,90.0,1631
43.0,100.0,4886
43.0,107.0,1996
43.0,113.0,1760
43.0,114.0,1206
43.0,116.0,220
43.0,120.0,14
43.0,125.0,512
43.0,127.0,70
43.0,128.0,19
43.0,137.0,989
43.0,140.0,2780
43.0,141.0,5251
43.0,142.0,10197
43.0,143.0,2907
43.0,144.0,1204
43.0,148.0,557
43.0,151.0,2311
43.0,152.0,167
43.0,158.0,1286
43.0,161.0,15937
43.0,162.0,6325
43.0,163.0,6535
43.0,164.0,5791
43.0,166.0,1316
43.0,170.0,4112
43.0,186.0,3669
43.0,209.0,215
43.0,211.0,1391
43.0,224.0,351
43.0,229.0,2576
43.0,230.0,9540
43.0,231.0,1527
43.0,232.0,229
43.0,233.0,2066
43.0,234.0,4312
43.0,236.0,8571
43.0,237.0,10758
43.0,238.0,5321
43.0,239.0,8066
43.0,243.0,199
43.0,244.0,362
43.0,246.0,2325
43.0,249.0,2059
43.0,261.0,722
43.0,262.0,2197
43.0,263.0,3528
45.0,4.0,397
45.0,12.0,68
45.0,13.0,527
45.0,24.0,19
45.0,41.0,29
45.0,42.0,39
45.0,43.0,203
45.0,45.0,958
45.0,48.0,597
45.0,50.0,128
45.0,68.0,544
45.0,74.0,77
45.0,75.0,90
45.0,79.0,1303
45.0,87.0,1128
45.0,88.0,494
45.0,90.0,336
45.0,100.0,545
45.0,107.0,655
45.0,113.0,445
45.0,114.0,455
45.0,116.0,20
45.0,120.0,6
45.0,125.0,231
45.0,127.0,8
45.0,128.0,1
45.0,137.0,317
45.0,140.0,202
45.0,141.0,229
45.0,142.0,191
45.0,143.0,90
45.0,144.0,812
45.0,148.0,778
45.0,151.0,65
45.0,152.0,10
45.0,158.0,330
45.0,161.0,995
45.0,162.0,526
45.0,163.0,258
45.0,164.0,813
45.0,166.0,39
45.0,170.0,757
45.0,186.0,433
45.0,209.0,470
45.0,211.0,330
45.0,224.0,174
45.0,229.0,244
45.0,230.0,779
45.0,231.0,1434
45.0,232.0,590
45.0,233.0,420
45.0,234.0,690
45.0,236.0,182
45.0,237.0,205
45.0,238.0,87
45.0,239.0,153
45.0,243.0,18
45.0,244.0,35
45.0,246.0,328
45.0,249.0,582
45.0,261.0,794
45.0,262.0,126
45.0,263.0,120
48.0,4.0,1375
48.0,12.0,220
48.0,13.0,3651
48.0,24.0,1370
48.0,41.0,2324
48.0,42.0,1855
48.0,43.0,8426
48.0,45.0,643
48.0,48.0,29632
48.0,50.0,11106
48.0,68.0,25162
48.0,74.0,1641
48.0,75.0,3162
48.0,79.0,7968
48.0,87.0,2739
48.0,88.0,1205
48.0,90.0,8945
48.0,100.0,11488
48.0,107.0,7493
48.0,113.0,4542
48.0,114.0,3897
48.0,116.0,1572
48.0,120.0,154
48.0,125.0,2233
48.0,127.0,792
48.0,128.0,108
48.0,137.0,4242
48.0,140.0,4021
48.0,141.0,6855
48.0,142.0,18280
48.0,143.0,7327
48.0,144.0,3000
48.0,148.0,2734
48.0,151.0,3798
48.0,152.0,785
48.0,158.0,5865
48.0,161.0,30912
48.0,162.0,14065
48.0,163.0,13986
48.0,164.0,12788
48.0,166.0,2550
48.0,170.0,12651
48.0,186.0,10131
48.0,209.0,479
48.0,211.0,3148
48.0,224.0,1400
48.0,229.0,5525
48.0,230.0,17514
48.0,231.0,6353
48.0,232.0,993
48.0,233.0,5913
48.0,234.0,12766
48.0,236.0,6645
48.0,237.0,9620
48.0,238.0,7902
48.0,239.0,11958
48.0,243.0,1341
48.0,244.0,2365
48.0,246.0,15450
48.0,249.0,10320
48.0,261.0,2451
48.0,262.0,2811
48.0,263.0,4303
50.0,4.0,355
50.0,12.0,80
50.0,13.0,1426
50.0,24.0,406
50.0,41.0,614
50.0,42.0,411
50.0,43.0,1805
50.0,45.0,234
50.0,48.0,9173
50.0,50.0,7084
50.0,68.0,7021
50.0,74.0,430
50.0,75.0,727
50.0,79.0,1942
50.0,87.0,955
50.0,88.0,380
50.0,90.0,2131
50.0,100.0,4359
50.0,107.0,1826
50.0,113.0,1186
50.0,114.0,995
50.0,116.0,382
50.0,120.0,18
50.0,125.0,591
50.0,127.0,161
50.0,128.0,27
50.0,137.0,787
50.0,140.0,828
50.0,141.0,1676
50.0,142.0,5452
50.0,143.0,2890
50.0,144.0,837
50.0,148.0,693
