pick_up_zone,drop_off_zone,weight
45,43,121
45,45,896
45,48,442
45,50,124
45,68,435
45,74,59
45,75,105
45,79,1352
45,87,954
45,88,350
45,90,357
45,100,350
45,107,704
45,113,462
45,114,460
45,116,17
45,120,9
45,125,328
45,127,14
45,128,2
45,137,359
45,140,174
45,141,208
45,142,219
45,143,83
45,144,734
45,148,819
45,151,56
45,152,15
45,158,334
45,161,634
45,162,378
45,163,207
45,164,525
45,166,46
45,170,584
45,186,386
45,209,338
45,211,405
45,224,119
45,229,209
45,230,555
45,231,1385
45,232,742
45,233,324
45,234,591
45,236,143
45,237,187
45,238,110
45,239,118
45,243,27
45,244,27
45,246,268
45,249,585
45,261,560
45,262,121
45,263,112
48,4,1392
48,12,102
48,13,2858
48,24,1381
48,41,2166
48,42,1567
48,43,6857
48,45,547
48,48,29418
48,50,11156
48,68,22679
48,74,1498
48,75,2908
48,79,8044
48,87,2118
48,88,804
48,90,9361
48,100,11202
48,107,8065
48,113,4128
48,114,3587
48,116,1425
48,120,101
48,125,1946
48,127,720
48,128,88
48,137,4430
48,140,4236
48,141,7180
48,142,19372
48,143,7614
48,144,2736
48,148,2586
48,151,3699
48,152,784
48,158,5028
48,161,27659
48,162,12443
48,163,14072
48,164,11874
48,166,2840
48,170,12286
48,186,10268
48,209,353
48,211,2634
48,224,1314
48,229,5500
48,230,16315
48,231,5408
48,232,1076
48,233,5503
48,234,11784
48,236,7108
48,237,9627
48,238,8298
48,239,12078
48,243,1260
48,244,2154
48,246,15117
48,249,9457
48,261,1719
48,262,2911
48,263,4441
50,4,328
50,12,37
50,13,1121
50,24,381
50,41,508
50,42,382
50,43,1392
50,45,154
50,48,8612
50,50,6416
50,68,6019
50,74,410
50,75,686
50,79,1650
50,87,762
50,88,252
50,90,2195
50,100,4179
50,107,1915
50,113,1141
50,114,843
50,116,286
50,120,19
50,125,567
50,127,148
50,128,14
50,137,793
50,140,848
50,141,1533
50,142,5609
50,143,2669
50,144,692
50,148,610
50,151,1103
50,152,193
50,158,1537
50,161,6163
50,162,2650
50,163,4301
50,164,2887
50,166,964
50,170,2440
50,186,2436
50,209,120
50,211,820
50,224,302
50,229,1032
50,230,5853
50,231,1693
50,232,251
50,233,929
50,234,2930
50,236,1540
50,237,2197
50,238,2618
50,239,3952
50,243,245
50,244,568
50,246,4941
50,249,2203
50,261,509
50,262,565
50,263,943
68,4,1530
68,12,92
68,13,3040
68,24,490
68,41,855
68,42,750
68,43,2616
68,45,525
68,48,16925
68,50,5674
68,68,19173
68,74,593
68,75,1218
68,79,8122
68,87,2373
68,88,695
68,90,8391
68,100,6833
68,107,8171
68,113,5985
68,114,4176
68,116,491
68,120,46
68,125,3001
68,127,216
68,128,45
68,137,3824
68,140,2026
68,141,3419
68,142,6016
68,143,2365
68,144,3663
68,148,2736
68,151,1208
68,152,264
68,158,6193
68,161,13114
68,162,5302
68,163,5685
68,164,8764
68,166,1254
68,170,9694
68,186,3861
68,209,328
68,211,3802
68,224,1287
68,229,2528
68,230,10905
68,231,6545
68,232,1040
68,233,3041
68,234,13356
68,236,3346
68,237,4331
68,238,2642
68,239,3944
68,243,404
68,244,654
68,246,14212
68,249,11686
68,261,1601
68,262,1535
68,263,2282
74,4,112
74,12,2
74,13,40
74,24,328
74,41,2107
74,42,1304
74,43,648
74,45,33
74,48,437
74,50,132
74,68,272
74,74,7168
74,75,5025
74,79,289
74,87,69
74,88,51
74,90,184
74,100,252
74,107,310
74,113,97
74,114,125
74,116,400
74,120,47
74,125,45
74,127,103
74,128,10
74,137,296
74,140,807
74,141,1224
74,142,629
74,143,158
74,144,81
74,148,120
74,151,688
74,152,336
74,158,65
74,161,483
74,162,458
74,163,298
74,164,245
74,166,1183
74,170,268
74,186,183
74,209,21
74,211,76
74,224,115
74,229,336
74,230,296
74,231,111
74,232,138
74,233,262
74,234,249
74,236,1979
74,237,797
74,238,888
74,239,783
74,243,165
74,244,333
74,246,104
74,249,152
74,261,26
74,262,1023
74,263,2486
75,4,314
75,12,7
75,13,215
75,24,820
75,41,2291
75,42,1390
75,43,2651
75,45,84
75,48,1622
75,50,484
75,68,970
75,74,6740
75,75,8203
75,79,961
75,87,280
75,88,215
75,90,455
75,100,1135
75,107,1005
75,113,495
75,114,325
75,116,416
75,120,48
75,125,202
75,127,164
75,128,32
75,137,986
75,140,2623
75,141,4114
75,142,2753
75,143,843
75,144,257
75,148,412
75,151,3161
75,152,402
75,158,274
75,161,2979
75,162,2062
75,163,1386
75,164,1128
75,166,1673
75,170,1182
75,186,1125
75,209,108
75,211,209
75,224,258
75,229,1300
75,230,1177
75,231,432
75,232,292
75,233,892
75,234,1007
75,236,9815
75,237,5137
75,238,4768
75,239,3150
75,243,274
75,244,548
75,246,520
75,249,507
75,261,100
75,262,3677
75,263,6278
79,4,8903
79,12,166
79,13,2649
79,24,620
79,41,1001
79,42,801
79,43,1548
79,45,2033
79,48,8256
79,50,2161
79,68,9261
79,74,1218
79,75,2171
79,79,26334
79,87,5796
79,88,1564
79,90,10404
79,100,5040
79,107,21695
79,113,12455
79,114,11628
79,116,584
79,120,31
79,125,4467
79,127,237
79,128,24
79,137,12242
79,140,3770
79,141,6592
79,142,4200
79,143,1500
79,144,10718
79,148,15586
79,151,1316
79,152,284
79,158,6762
79,161,8213
79,162,6869
79,163,3264
79,164,9774
79,166,1148
79,170,14333
79,186,8480
79,209,1518
79,211,8146
79,224,4507
79,229,6359
79,230,5214
79,231,10169
79,232,6705
79,233,7014
79,234,16272
79,236,3841
79,237,4105
79,238,2509
79,239,3498
79,243,429
79,244,613
79,246,5048
79,249,17959
79,261,2374
79,262,3335
79,263,4838
87,4,884
87,12,177
87,13,2949
87,24,84
87,41,112
87,42,117
